quelle,index_string,inhalt,index_binar
000:ballast,ballast,ballast,0
zyx_cr_agx_rus_11,aTest:unklar:unklar:N:,молла насреддин сказал жене пойду кур продавать он положил кур в мешок,0
zyx_cr_agx_rus_11,aTest:N:N:N:,молла насреддин сказал жене пойду кур продавать он положил кур в мешок,0
zyx_cr_agx_rus_11,aTest:N:N:N:,молла насреддин сказал жене пойду кур продавать он положил кур в мешок,0
zyx_cr_agx_rus_11,aTest:N:N:N:,молла насреддин сказал жене пойду кур продавать он положил кур в мешок,0
zyx_cr_agx_rus_11,aTest:N:N:N:,молла насреддин сказал жене пойду кур продавать он положил кур в мешок,0
zyx_cr_agx_rus_11,aTest:unklar:unklar:N:,куры подняли шум он их вынул и погнал обмакивая в воду и сте гая хворостиной идите впереди меня говорил молла насреддин пока одну вынимал остальные терялись наконец он всех намочил смотрит молла насреддин не осталось ни одной курицы молла насреддин сказал значит сами себя продадут и придут с деньгами,0
zyx_cr_agx_rus_11,aTest:N:N:N:,куры подняли шум он их вынул и погнал обмакивая в воду и сте гая хворостиной идите впереди меня говорил молла насреддин пока одну вынимал остальные терялись наконец он всех намочил смотрит молла насреддин не осталось ни одной курицы молла насреддин сказал значит сами себя продадут и придут с деньгами,0
zyx_cr_agx_rus_11,aTest:N:N:N:,куры подняли шум он их вынул и погнал обмакивая в воду и сте гая хворостиной идите впереди меня говорил молла насреддин пока одну вынимал остальные терялись наконец он всех намочил смотрит молла насреддин не осталось ни одной курицы молла насреддин сказал значит сами себя продадут и придут с деньгами,0
zyx_cr_agx_rus_11,aTest:N:N:N:,куры подняли шум он их вынул и погнал обмакивая в воду и сте гая хворостиной идите впереди меня говорил молла насреддин пока одну вынимал остальные терялись наконец он всех намочил смотрит молла насреддин не осталось ни одной курицы молла насреддин сказал значит сами себя продадут и придут с деньгами,0
zyx_cr_agx_rus_11,aTest:N:N:N:,куры подняли шум он их вынул и погнал обмакивая в воду и сте гая хворостиной идите впереди меня говорил молла насреддин пока одну вынимал остальные терялись наконец он всех намочил смотрит молла насреддин не осталось ни одной курицы молла насреддин сказал значит сами себя продадут и придут с деньгами,0
zyx_cr_agx_rus_11,aTest:unklar:unklar:N:,молла насреддин пришел домой жена его спросила где куры молла насреддин ответил жене они сказали что они сами себя продадут и одна принесет деньги конец,0
zyx_cr_agx_rus_11,aTest:N:N:N:,молла насреддин пришел домой жена его спросила где куры молла насреддин ответил жене они сказали что они сами себя продадут и одна принесет деньги конец,0
zyx_cr_agx_rus_11,aTest:N:N:N:,молла насреддин пришел домой жена его спросила где куры молла насреддин ответил жене они сказали что они сами себя продадут и одна принесет деньги конец,0
zyx_cr_agx_rus_11,aTest:N:N:N:,молла насреддин пришел домой жена его спросила где куры молла насреддин ответил жене они сказали что они сами себя продадут и одна принесет деньги конец,0
zyx_cr_agx_rus_11,aTest:N:N:N:,молла насреддин пришел домой жена его спросила где куры молла насреддин ответил жене они сказали что они сами себя продадут и одна принесет деньги конец,0
