quelle,index_string,inhalt,index_binar
000:ballast,ballast,ballast,0
zyx_cr_agx_rus_11,nh531:unklar:^Vorfeld:Molla:,молла насреддин сказал жене пойду кур продавать он положил кур в мешок,0
zyx_cr_agx_rus_11,nh531:unklar:^Fehler:Molla:,куры подняли шум он их вынул и погнал обмакивая в воду и сте гая хворостиной идите впереди меня говорил молла насреддин пока одну вынимал остальные терялись наконец он всех намочил смотрит молла насреддин не осталось ни одной курицы молла насреддин сказал значит сами себя продадут и придут с деньгами,0
zyx_cr_agx_rus_11,nh531:unklar:^Krise:Molla: nh531:unklar:^Lösung:Molla:,молла насреддин пришел домой жена его спросила где куры молла насреддин ответил жене они сказали что они сами себя продадут и одна принесет деньги конец,0
zyx_cr_agx_rus_13,nh395:unklar:^Vorfeld:Molla:,молла насреддин пошел в лес он нашел зайца он положил зайца в мешок и принес домой он пошел к народу к сельчанам он сказал всем собирайтесь я вам одну вещь покажу,0
zyx_cr_agx_rus_13,nh395:unklar:^Fehler:Molla:,его жена не вытерпела она развязала веревку на мешке и посмотрела оттуда выпрыгнул заяц выпрыгнул и убежал она не знала что делать она положила в мешок мерку для зерна,0
zyx_cr_agx_rus_13,nh395:unklar:^Krise:Molla: nh395:unklar:^Lösung:Molla:,молла насреддин пришел закинул за спину свой мешок и ушел все собрались он развязал веревку на мешке а там была мерка тогда молла насреддин сказал каждый пусть даст по одной мерке зерна все дали по одной мерке зерна так тот разбогател конец,0
zyx_cr_agx_rus_17,nh395:unklar:^Vorfeld:Molla:,однажды молла насреддин пошел на пашню и поймал там зайца принес он этого зайца домой потом положил его в мешок завязав верх и оставил этот мешок в углу он сказал своей жене этот мешок не трогай,0
zyx_cr_agx_rus_17,nh395:unklar:^Krise:Molla:,молла насреддин сказал мужикам я вам сейчас покажу кое что чего вы в жизни не видели постойте тут пошел молла насреддин домой принести зайца,0
zyx_cr_agx_rus_17,nh395:unklar:^Fehler:Molla:,когда молла насреддин ушел жена открыла мешок заяц выпрыгнул и убежал чтобы муж не узнал жена положила в мешок мерку для зерна,0
zyx_cr_agx_rus_17,nh395:unklar:^Krise:Molla: nh395:unklar:^Lösung:Molla:,молла насреддин пришел взял дома этот мешок и пошел пошел и сел с мужиками это чтобы не убежал сказал он он открыл мешок взялся за нижние углы и вытряхнул то что там было перед всеми смотрят выпала мерка от стыда молла насреддин не знал что сказать наконец он сказал четыре таких т е маленьких мерки вмещают сколько одна большая мерка те кто там был все как один рассмеялись конец,0
zyx_cr_agx_rus_20,nh344:F:^Vorfeld:Molla:,был говорят не был говорят молла насреддин пошел он продавать козу привязал козу к хвосту осла на лоб козе привязал колокольчик а сам сел на осла увидели три товарища как он едет втроем они сговорились один сказал что дадите если украду у него эту козу так что тот и не узнает другой товарищ сказал что дадите если отниму у него осла последний товарищ сказал что дадите если сниму с него одежду,0
zyx_cr_agx_rus_20,nh344:h:^Fehler:Molla:,товарищ который говорил первым пошел красть козу он снял колокольчик который был у козы на лбу и привязал к хвосту осла сам же с козой ушел обратно,0
zyx_cr_agx_rus_20,nh344:h:^Fehler:Molla:,второй товарищ пошел и встал на пути моллы насреддина эй молла насреддин куда ты идешь доброго тебе пути валлах иду козу продать детям еды купить сказал тот а где твоя коза спросил второй товарищ молла насреддин сказал а ты не видишь колокольчик на хвосте осла зазвенел ты что ослеп вот же нету козы сказал второй товарищ покажи мне молла насреддин повернулся назад посмотрел за хвостом осла козы больше нет остался только колокольчик привязанный к хвосту осла ах сказал он оторвалась на сказал молла насреддин подержи этого осла пока я поищу козу и вернусь тот товарищ убежал с ослом,0
