alt,neu,klasse"
"Abraten von der Mission","ABRATEN von der Mission","2""
"Abraten von der Mission nachgehen","Dem ABRATEN von der Mission nachgehen","2""
"Abtretung steht bevor","Abtretung der Schönen bevorstehend","0""
"Adoption","Adoption erfolgt","0"
"Aneignen beheben","ANEIGNEN beheben"," 2"
"Angebot von Heiratswilligen","Lösung für HEIRATSWILLIGE nachgehen","2"
"Angebot von Heiratswilligen nachgehen","Dem Angebot von HEIRATSWILLIGEN nachgehen",","
"Angebot von Schatzhütern","Lösung für SCHATZHÜTERN nachgehen","2"
"Angebot von Schatzhütern nachgehen","Dem Angebot von SCHATZHÜTERN nachgehen",","
"Angebot zum König zu werden","Angebot, KÖNIG ZU WERDEN","2"
"Angebot zum König zu werden nachgehen","Dem Angebot, KÖNIG ZU WERDEN, nachgehen","2"
"Anlocken","VERLOCKUNG","2"
"Anlocken nachgehen","Der VERLOCKUNG nachgehen","2"
"Amüsieren","AMUSEMENT","2"
"Amüsieren nachgehen","Dem AMUSEMENT nachgehen","2"
"Anregen zu Beauftragungen","Zu Beauftragungen anregen","0"
"Arrangierte Verlobung","Verlobung wird arrangiert","0"
"Auf dem Weg nach Hause","Auf dem Heimweg",","
"Auftrag Kochen","Auftrag zum Kochen","1"
"Ausgangslosen Ort entkommen","Von einem AUSWEGLOSEN Ort entkommen","2"
"Ausgangslosen Ort gelangen","An einen AUSWEGLOSEN Ort gelangen","2"
"Ausrüsten","Die BESCHAFFUNG der AUSRÜSTUNG","2"
"Ausrüsten nachgehen","Der BESCHAFFUNG der AUSRÜSTUNG nachgehen","2"
"Aussetzung","AUSSETZUNG","2"
"Aussetzung","AUSSETZUNG beheben","2"
"Ausspionieren beauftragen","Auftrag zum AUSSPIONIEREN erteilen","2"
"Ausspionieren des Geheimnisses Zauberfohlen","Das Geheimnis des Erwerbs des REITTIERs AUSSPIONIEREN","2"
"Ausspionieren des Geheimnisses Zaubergegenstandes","Das Geheimnis des Erwerbs des BESONDEREN Gegenstandes AUSSPIONIEREN","2"
"Ausspionieren des Geheimnisses external soul","Das Geheimnis des Erwerbs der EXTERNEN SEELE AUSSPIONIEREN","2"
"Baumersteigen","Baumersteigen","1"
"Bauwerk errichten","Bauwerk errichten","1"
"Begehren","Begehren einer Person oder eines Gegenstandes","0"
"Begleiter gewinnen","Einen Begleiter gewinnen","0"
"Begnadigen der potenziellen Beute","Die potenzielle Beute begnadigen","1"
"Begnadigen des Einbrechers","Den Einbrecher begnadigen","1"
"Behinderung beheben","Eine BEHINDERUNG beheben","2"
"Behinderung durch den Fluch","BEHINDERUNG durch einen Fluch","2"
"Belauschen","Gespräche belauschen","1"
"Besitzer des Objektes beschaffen","BESITZER DES OBJEKTES herbeiholen","3"
"Besitzer des Objektes ergreifen","BESITZER DES OBJEKTES erfassen","2"
"Bestrafung","Bestrafung erfolgt","0"
"Beute teilen","BEUTETEILEN","2"
"Beute teilen nachgehen","Dem BEUTETEILEN nachgehen","2"
"Botschaften verfälschen","BOTSCHAFTEN verfälschen","2"
"Botschaften versenden","BOTSCHAFTEN versenden","2"
"Demütigung beheben","Eine DEMÜTIGUNG beheben","2"
"Demütigung des verleumdeten Helden","DEMÜTIGUNG des verleumdeten Helden","3"
"Den Bösen Eigene Kinder fressen lassen","Den Bösen die eigenen Kinder fressen lassen","0"
"Den Bösen Eigene Kinder schlachten lassen","Den Bösen die eigenen Kinder schlachten lassen","0"
"Den Bösen Schaden einrichten lassen","Den Bösen Schaden anrichten lassen","0"
"Einladung folgen","Einer Einladung folgen","0"
"Empfängnismittel ergreifen","Magische EMPFÄNGNISmittel ergreifen","2"
"Empfängnismittel erhalten","Magische EMPFÄNGNISmittel erhalten","2"
"Empfängnismittel suchen","Magische EMPFÄNGNISmittel suchen","2"
"Entführen","Eine ENTFÜHRUNG","3"
"Entführen beheben","Eine ENTFÜHRUNG beheben","2"
"Entmachten","PARALYSIERUNG","2"
"Entmachten beheben","PARALYSIERUNG beheben","2"
"Enttäuschung auslösen","Eine Enttäuschung auslösen","0"
"Erklärungsbedürftigem Verhalten von Betrügern","Folge von Betrügerei deuten","1"
"Erklärungsbedürftigem Verhalten von Bigotterie","Folge von Bigotterie deuten","1"
"Erklärungsbedürftigem Verhalten von Dieben","Folge von Kriminalität deuten","1"
"Erklärungsbedürftigem Verhalten von Geiz","Folge von Geiz deuten","1"
"Erklärungsbedürftigem Verhalten von Grobheit","Folge von Grobheit deuten","1"
"Erklärungsbedürftigem Verhalten von Heiratswilligen","Lösung für HEIRATSWILLIGE deuten","3"
"Erklärungsbedürftigem Verhalten von Klatschweibern","Folge von Klatsch deuten","1"
"Erklärungsbedürftigem Verhalten von Rabenkindern","Folge von Vernachlässigung der Eltern deuten","1"
"Erklärungsbedürftigem Verhalten von Schatzhütern","Lösung für SCHATZHÜTER deuten","3"
"Erklärungsbedürftigem Verhalten von dem Alte","Ursache des Altaussehens deuten","1"
"Erklärungsbedürftigem Verhalten von dem Fährmann","Lösung für den FÄHRMANN deuten","3"
"Erklärungsbedürftigem Verhalten von der Arbeitsscheu","Folge von Arbeitsscheu deuten","1"
"Erklärungsbedürftigem Verhalten von leidendem Raubtier","Lösung für das LEIDENDE TIER deuten","3"
"Erklärungsbedürftigem Verhalten von leidendem Raubtier gefressen werden","Lösung für das LEIDENDE TIER nachgehen","2"
"Lösung für den FÄHRMANN nachgehen","Lösung für den FÄHRMANN nachgehen","2"
"Erklärungsbedürftigem Verhalten von unstillbarem Durst","Ursache des unstillbaren Dursts deuten","1"
"Erklärungsbedürftigem Verhalten von unstillbarem Hunger","Ursache des unstillbaren Hungers deuten","1"
"Erklärungsbedürftigem Verhalten von verweigerter Gastfreundschaft","Folge von verweigerter Gastfreundschaft deuten","1"
"Erklärungsbedürftigem Verhalten von vorehelichem Geschlechtsverkehr","Folge von vorehelichem Geschlechtsverkehr deuten","1"
"Erlösung","Erlösung","1"
"Erpressen Heiratszusage","Heiratszusage erpressen","1"
"Erpressen Hilfe","Hilfe erpressen","1"
"Erpressen Wegführung","Wegweisung erpressen","1"
"Erpressen des Meineides","MEINEID erpressen","2"
"Erpressen des Meineides beheben","MEINEID erpressen beheben","2"
"Erpressen für Wiedergutmachung","Wiedergutmachung erpressen","1"
"Erste Liebe ignorieren","Missachtung der LIEBE","2"
"Erste Liebe ignorieren beheben","Missachtung der LIEBE beheben","2"
"Erträumen","Erträumen","0"
"Erzählen","Erzählen","1"
"Existenz sichern","Existenz absichern","0"
"Existenzform wechseln","Die Änderung der EXISTENZFORM","2"
"Existenzform wechseln beheben","Änderung der EXISTENZFORM beheben","2"
"Existenzformgewechselte verkaufen unterschieben","Geänderte EXISTENZFORM VORTÄUSCHEN","3"
"Familienzusammenführung","Familienzusammenführung","0"
"Fassungslosigkeit löst Mitleidsgefühl aus","Mitleidsgefühl auslösen","0"
"Fehlen männlicher Nachkommenschaft","Fehlende männliche Nachkommen","0"
"Fehlender Gegenstand beschaffen","FEHLENDEN Gegenstand besorgen","3"
"Fehlender Gegenstand ergreifen","FEHLENDEN Gegenstand erfassen","3"
"Felder pflügen","FELDER BESTELLEN","3"
"Felder pflügen anpacken","FELDER BESTELLEN anpacken","3"
"FERNLIEBE","Auslösen von FERNLIEBE","2"
"FERNLIEBE beheben","FERNLIEBE beheben","2"
"Festnahme bzw Sperren","FREIHEITSBERAUBUNG","2"
"Festnahme bzw Sperren beheben","FREIHEITSBERAUBUNG beheben","2"
