Data
a530:f:Ungewünschtes_Wesen_beseitigen {-18}
a516:H:Schicksalsbestimmender_Weisung_folgen {-17}
a516:H:Unterkommen {-16}
a516:h:SCHLAF {-15}
a516:H:Wache_halten {-14}
a516:H:Zweikampf {-13}
a516:H:MARKIERUNGEN_anbringen {-12}
a516:F:MARKIERUNGEN_anbringen {-12}
a516:F:Schicksalsbestimmender_Weisung_folgen {-11}
a516:F:SONSTIGE_AUFGABE_erledigen {-10}
a516:F:N {-10}
a516:h:SONSTIGE_AUFGABE_erledigen {-9}
a516:h:SONSTIGE_AUFGABE_erledigen_x {-9}
a516:H:SONSTIGE_AUFGABE_erledigen_x {-8}
a516:H:SONSTIGE_AUFGABE_erledigen {-8}
a516:H:MARKIERUNGEN_vorlegen {-7}
"a854:F:Um_eine_Frau_WERBEN {-7, 6}"
a516:H:MARKIERUNGEN_erkennen {-6}
a516:H:Die_SCHÖNE_herbeiholen {-6}
Anf-a516:Hh:Eines_auffälligen_GEGENSTANDES_habhaft_werden {-6}
a516:Hh:Eines_auffälligen_GEGENSTANDES_habhaft_werden {-5}
a516:F:FEHLENDEN_Gegenstand_besorgen {-4}
a312D:hf:TABU_Türe_nicht_öffnen_dürfen {-4}
Anf-a516:h:Verlobung_wird_arrangiert {-4}
a516:h:FEHLENDEN_Gegenstand_besorgen {-3}
a516:HF:Richtiges_erlangen {-3}
a516:h:Verlobung_wird_arrangiert {-3}
a516:F:Richtiges_erlangen {-2}
a516:H:NEUGIER_ausgelöst {-2}
a516:hf:TABU_Behälter_nicht_öffnen {-2}
a516:H:Der_NEUGIER_nachgehen {-1}
aU:H:Goldhaariges_Kind_zur_Welt_bringen {-1}
Anf-a516:h:Die_FERNLIEBE_wird_ausgelöst {-1}
a516:h:Die_FERNLIEBE_wird_ausgelöst {0}
a513A:H:Einen_Begleiter_gewinnen_x_x_x_x {0}
a516:F:Richtiges_erlangen_x {1}
a516:F:Auf_Hilfsquelle_zurückgreifen {1}
a516:Hh:KONTAKT_abbrechen {1}
a516:HF:ABRATEN_von_der_Mission {1}
a516:H:TREUEN_HELFER_erhalten {2}
a516:HF:Tiere_gegeneinander_kämpfen_lassen {2}
a516:F:Krisenursachen_ergründen {2}
a516:F:Sorge_um_Freikaufsbedürftige {2}
a516:Hh:Dem_ABRATEN_von_der_Mission_nachgehen {2}
a516:h:Sich_ZURÜCKZIEHEN {2}
Anf-a516:H:Gespräche_belauschen {2}
a861:H:Heiraten {2}
a516:H:Die_Änderung_der_EXISTENZFORM {3}
a516:H:Die_Beschaffung_der_AUSRÜSTUNG {3}
a516:F:Auf_Hilfsquelle_zurückgreifen_x {3}
a516:H:Sorge_um_Freikaufsbedürftige {3}
a516:H:ZURÜCKZIEHEN_beheben {3}
a516:H:Gespräche_belauschen {3}
a516:#:# {3}
a516:HF:Hartes_Großes_Mächtiges_mit_Weichem_Kleinem_Schwachem_bewältigen {3}
a516:H:Tiere_gegeneinander_kämpfen_lassen {3}
a516:F:WETTLAUF {4}
a516:H:REITTIER_erhalten {4}
a516:h:FERNLIEBE_beheben {4}
a516:H:Enthüllung_der_Wahrheit_durch_das_subtile_Mittel {4}
a516:HF:Baumersteigen {4}
a516:HF:Die_SCHÖNE_erfassen {4}
a516:H:Potenziellen_Feind_zum_Gastgeber_gewinnen {4}
a516:HF:VORHERSAGE_Unglück_vom_Haustier {4}
a516:HF:VORHERSAGE_Unglück_vom_Wild {4}
a516:HF:WETTKAMPF {4}
a400:H:Heimlich_beobachten {4}
a516:H:Universellen_ZAUBERMITTEL_erhalten {5}
a516:HF:SELTENEN_Gegenstand_erfassen {5}
a516:hf:TABU_Schweigegebot {5}
a516:#:#_x {5}
a516:H:Krisenursachen_ergründen {5}
a516:H:WETTKAMPF {5}
a516:hf:TABU_Schweigegebot_x {5}
a516:F:Intensive_Erkundungsaktion {5}
a400:H:KONTAKT_wiederherstellen {5}
a516:H:Eine_VEREINBARUNG_einhalten {6}
a516:H:Die_SCHÖNE_erfassen {6}
a516:f:Um_eine_Frau_WERBEN {6}
a516:H:Den_Vorgang_deuten {6}
a516:H:SELTENEN_Gegenstand_erfassen {6}
a516:h:FERNLIEBE_beheben_x {6}
a516:H:Auf_dem_Heimweg {6}
a516:HF:Der_VORHERSAGE_nachgehen {6}
a516:H:Der_VORHERSAGE_nachgehen {6}
a861:H:Intensive_Erkundungsaktion {6}
a516:hf:TABU_nicht_einschlafen_dürfen {7}
a516:hf:TABU_keine_Pause_machen {7}
a516:f:Den_Vorgang_deuten {7}
a516:F:Um_eine_Frau_WERBEN {7}
a516:H:Heiraten {7}
a516:h:TABU_nachgehen {7}
a516:H:TABU_nachgehen {7}
a516:#:#_x_x {7}
a516:f:VEREINBARUNG {7}
aU:F:Um_eine_Frau_WERBEN {7}
a516:h:TABU_nachgehen_x {8}
a516:H:FERNLIEBE_beheben {8}
a516:h:SCHLAF_x {8}
a516:h:VERSTEINERUNG {8}
a516:F:VEREINBARUNG {8}
a516:f:Baumersteigen {8}
End-a516:H:Heiraten {8}
a516:F:Gegen_ein_Tier_kämpfen {9}
a516:F:VERSTEINERUNG_beheben {9}
a516:h:Eine_ENTFÜHRUNG {9}
a516:HF:KINDERMORD_erforderlich {9}
a516:H:Baumersteigen {9}
a301:hf:TABU_Türe_nicht_öffnen_dürfen {9}
End-a516:h:VERSTEINERUNG {9}
a516:HF:Gegen_ein_Tier_kämpfen {10}
a516:H:SCHLAF_unterbrechen {10}
a516:F:Auf_Hilfsquelle_zurückgreifen_x_x {10}
a516:Hh:KINDERMORD_nachgehen {10}
a513A:f:Gegen_ein_Tier_kämpfen {10}
a516:H:VERSTEINERUNG_beheben {11}
a516:H:Gespräche_belauschen_x {11}
a516:H:Gegen_ein_Tier_kämpfen {11}
a301:F:Eine_ENTFÜHRUNG_beheben {11}
a301:H:Auf_dem_Heimweg {11}
a516:H:Ende {12}
a516:F:Tiere_gegeneinander_kämpfen_lassen {12}
a516:HF:VERSTEINERUNG_beheben {12}
a516:H:WIEDERBELEBEN {12}
a516:Ff:KINDERMORD_erforderlich {13}
End-a516:H:Ende {13}
End-a516:H:WIEDERBELEBEN {13}
a516:Hh:Baumersteigen {inf}
a516:F:Baumersteigen {inf}
a513A:F:Hitze_entkommen {inf}
a513A:H:WETTLAUF {inf}
