quelle,index_string,inhalt,index_binar
000:ballast,ballast,ballast,0
cc_agx_rus_56ß,a654:F:SELTENEN_Gegenstand_besorgen:rHP:,когдато в тифлисе жил купец у которого была дочь по имени мариат красивая начитанная и ученая свою дочь выдам только такому мужу подумал купец который умеет делать чтонибудь необыкновенное слух об этом условии купца распространился повсюду,0
cc_agx_rus_56ß,a654:H:Fernseher_als_ZAUBERMITTEL_erhalten:rHD:,узнал о нем также человек в эрзеруме который обладал способностью видеть все что происходит на целом свете если только он ляжет приложив руку к глазам,0
cc_agx_rus_56ß,a654:H:WAFFE_ZAUBERMITTEL_erhalten:rHD:,в бухаре тоже был человек который услышал о дочери купца и который никогда не промахивался когда он стрелял,0
cc_agx_rus_56ß,a654:H:Flugzeugendes_ZAUBERMITTEL_erhalten:rHD:,потом жил еще один человек в афганистане который умел делать там деревянные вещи на которых можно пройти в один час месячный путь,0
cc_agx_rus_56ß,a654:F:Um_eine_Frau_werben:rHD_rHP:,вот все трое отправились в путь чтобы просить руки этой знаменитой девицы и приехали в дом где она жила втроем в тот же самый момент попросили ее руку что вы умеете делать спросил отец они объяснили ему свои умения спасибо вам сказал купец вот вы пришли и нельзя послать вас обратно так без обид я подумаю за кого из вас ее выдать — хорошо сказали они и купец ушел,0
cc_agx_rus_56ß,a654:F:ZAUBERMITTEL_AUSRÜSTUNG_oder_WAFFE_einsetzen:rHD: a654:H:VORHERSAGE_des_Aufenthaltsortes:rHD:,они посмотрели друг на друга и один из них сказал ты сказал что ты можешь узнать все что происходит на свете ну теперь узнавай он сразу приложил руку к глазам поднял голову и сказал в черном море есть остров на котором стоит джинская крепость и в ней сидит эта девица пленницей,0
cc_ani_rus_10,anh248:#:#:#:,раз вечером к мулленасреддину пришло трое людей «одолжи мне своего осла» сказал первый «я хочу взять его с собою на мельницу» — «хорошо дам» ответил насреддин,0
cc_ani_rus_10,anh248:#:#:#:,«мне нужен завтра твой осел» сказал второй «я хочу взять его с собою на баранку»— «хорошо возьми его завтра утром» сказал насреддин,0
cc_ani_rus_10,anh248:#:#:#:,«принеси мне своего осла» сказал третий «я должен пойти в гагауз купить пшеницы» — «хорошо дам» ответил мулланасреддин и третьему—,0
cc_ani_rus_10,anh248:#:#:#:,«вот к тебе пришли трое» сказала жена муллынасреддина «а если завтра первый придет и возьмет твоего осла что ты скажешь потом другим» — «к богу жена ты права что мне сказать им»,0
cc_ani_rus_11,anh384:#:#:#:,мулланасреддинъ сказалъ разъ детямъ «тамъ внизу ктото раздаеть яблоки даромъ идите» дети побежали за ними побежалъ самъ насреддинъ,0
cc_ani_rus_11,anh384:#:#:#:,«куда ты» спросили его «а можетъбыть и правда что раздаютъ яблоки» ответилъ он,0
cc_ani_rus_12ß,a654:F:Eine_Heiratsabsicht_kundtun:rHD_rHH:,у одного хана было трое сыновей у другого же хана живущего далеко от первого была одна дочь сыновья первого влюбились в эту девушку и каждый хотел взять ее себе нет она должна принадлежать одному только бросьте жребий сказал их отец но им это не понравилось они начали ссориться по вопросу бросать ли жребий или не бросать вследствие этих споров отец их заболел,0
