quelle,labela,labelb1,labelc1,labelb2,labelc2,labelb3,labelc3,labelb4,labelc4,labelb5,labelc5,labeld,inhalt,index_binar
!_neu,N,N,N,N,N,N,N,N,N,N,N,N,нагло снова спрятал дам хранить подарок навозом дарует бесстрашный ножницами вволю пристали стену слезы нога вдова ходила мясом увидишь дала слез забрал стражу выбраться безголовый заплакала оба получил возвращался подарил площадь делал плачь попала единственный отрезал ханства выйдет лекарства молодости выходила шкуру будешь отрубят бедная предупредил смерти сколько двенадцать постоянно зарезали люди завяз ремеслу человек неизвестно убитого воров лет никто попрошайка отомстить сын выберусь найти отец смоле головой отруби собрал ставил малых мертвеца глиняный ребенка казны мяса мало кумухскому увяз слезами брат утром полным произошло повесили чтонибудь яму моего роднику напоив обнаружили увидев народ отрежь медный сундук государства случившемся меда разбей нижней опознать кувшина пойдешь рука вдовы охраняли улицу разбитого крепостную урони навозе белого мужественный водой изза ворами вором женщина вином схватили дядя домой верблюжатины золото покинутый соскользнулась проверять сестре удалось стражников больного базар украдет подсказала глазах половину поймать стража сможешь воровать понял приказал украл дереве исцеления зарезал сдержать разбила отца правый отрезанной ус кувшином ханские доносчица руку голову осла воровали верблюда брата сокровища соседнего родника нукеров сможет падишах вдову хану хана плакать украсть нукеры хан стражники тело дяди кувшин племянник вора труп вор,0
zyx_cc_agx_rus_54,N,N,N,N,N,N,N,N,N,N,N,N,был голод в дагестане в это время жилабыла лисица которой нечего было есть вот думала лисица что мне здесь делать пойду лучше в ширван она отправилась в дорогу на пути встретился волк который спросил ее куда ты — в ширван — зачем спросил волк снова ого сказала лисица там бараны есть без пастухов сколько хочешь бери гуляй никто не мешает я иду туда есть пить гулять — я тоже пойду с тобой сказал волк встретили они котера котер спросил куда вы — мы в ширван — что там спросил котер снова там там есть трава такая высокая трава что не стоит нагибаться стоя можно есть — хорошо я тоже пойду с вами сказал котер,0
zyx_cc_agx_rus_54,N,N,N,N,N,N,N,N,N,N,N,N,когда они приблизились к ширвану они поднялись на холм ого сказала лисица до ширвана еще 10 суток что нам делать теперь надо съесть младшего из нас скажите каждый сколько кому лет — я сказал волк родился во время пророка ноя — врешь сказала лисица но от этого тебе пользы не будет что касается меня я была уже взрослой когда бог создал человека а котер сказал я не знаю сколько мне лет но посмотрите на подкове моей задней ноги мой хозяин написал год моего рождения — я не могу сказала лисица я плохо вижу смотри ты волк волк подошел но когда он хотел посмотреть котер ударил его ногой так сильно что тот упал потеряв сознание а что не говорила ли я тебе что бесполезно лгать сказала лисица волк около потом лисица обратилась к котеру вот все эти дикие места пусть будут твои а тело этого волка мое,0
zyx_cc_agx_rus_55,N,N,N,N,N,N,N,N,N,N,N,N,у одной вдовы в сурхе был сын по имени омар по своей нужде он пошел в акушу чтобы наняться слугой у богача за десять рублей раз он пошел со своим хозяином в губденский лес за дровами да сказал слуга жена нашего соседа красивая женщина — слушай ответил ему хозяин я тебя не нанимал чтобы ты говорил о женщинах ты лучше делай свою работу — она блудница опять сказал слуга а тебе какое дело до этого спросил хозяин делайка свою работу — и твоя жена блудница заметил слуга ну зачем же она будет блудницей — хорошо сказал слуга если я ошибаюсь ты можешь взять для себя мое жалованье а если я прав ты мне дашь десять рублей ладно — ладно сказал хозяин так если я прав ты оставишь мне 10 рублей — да а если я прав то получу 10 рублей я теперь пойду домой ты иди за мной поднимись на крышу нашего дома и смотри тайно через трубу камина,0
zyx_cc_agx_rus_55,N,N,N,N,N,N,N,N,N,N,N,N,слуга пошел домой и когда вошел в комнату то бросил свой топор на пол а сам тоже лег около него ну пришли спросила жена хозяина пришел ответил слуга а где муж и быки — раз ты много спрашиваешь сказал слуга то не скажу тебе — что — ты спросила где твой муж и твои быки сказать тебе — скажи — вот в лесу была нора лисицы а когда мы проходили мимо то возник спор между нами,0
zyx_cc_agx_rus_57,N,N,N,N,N,N,N,N,N,N,N,N,во время пророка соломона жил человек по имени зал у которого была жена раз забеременела прошло всего три месяца и настало время родить но она не могла спросили у врача что это значит врач сказал этот ребенок не родится — а что делать спросили опять надо открыть живот матери и вырезать ребенка так он и сделал и когда вынули ребенка то кормила его этот ребенок был рустам,0
zyx_cc_agx_rus_57,N,N,N,N,N,N,N,N,N,N,N,N,прошло семь лет в это время случилось что белый дэв которого кахруман привязал оторвался и спустился тогда падишах сказал заду твой дед привязал его теперь ты иди и поймай его если не можешь поймать его живым убей его зал готовился к борьбе с дэвом и взял свое оружие тогда рустам спросил его отец что ты делаешь — мой дед привязал белого дэва тот оторвался и я готовлюсь с ним сражаться самого рустама же не пускали из дома его охраняли,0
zyx_cc_agx_rus_57,N,N,N,N,N,N,N,N,N,N,N,N,но рустам не вытерпел и выдумал хитрость чтобы сбежать из дома я иду мочиться сказал он раз и пошел в нужник с балкона он услышал шум что это такое сказал он когда он пригляделся то увидел что аждаха идет — большой аждаха и отрывает людям головы но тогда рустам уже больше не смог удержаться ударил ногой об стену так что она свалилась и выпрыгнул на улицу когда зал его отец услышал шум падающей стены он сразу сказал своей семье скорее смотрите где рустам вышли увидели разбитую стену и догадались что рустам это сделал и выбежал на улицу сразу же предупредили зала ах сказал тот и поспешил за сыном увидел что тот уже около дэва аждаха ох плохо вздохнул отец но рустам схватил дэва за рог и ударил его своим кулаком по хобу так сильно он ударил что дэв упал в обморок разбил себе голову в куски и умер да сохрани тебя бог сказали люди рустаму если бы тебя не было этот дэв разрушил бы весь город и все собрались вокруг него отец народ и сам падишах пришел и обнял его,0
zyx_cc_agx_rus_57,N,N,N,N,N,N,N,N,N,N,N,N,потом рустам вернулся домой со своим отцом когда они были опять у себя дома отец сказал теперь мне это оружие и эта лошадь полученные мною от отцов уже не нужны возьми их и оба сидели спокойно,0
zyx_cc_agx_rus_57,N,N,N,N,N,N,N,N,N,N,N,N,вот вздумалось раз рустаму пойти на охоту отец я иду на охоту сказал он иди рустам взял свое копье свой баллук свой охотничий нож сел на свою лошадь рахша и отправился на горе он наткнулся на бегущего джейрана пустился за ним в погоню на своем рахше ударил джейрана копьем и убил его вдруг сзади появился человек который сказал этот джейран был мой ты лучше сделал бы если бы ты принес голову своего деда которая висит во дворце белых дьяволов в их городе чем отнимать собственность бедных людей рустаму стало жаль этого человека возьми сказал он отдал ему джейрана и вернулся домой дома он спросил отца кто был твой отец твой дед и твой прадед и где умер он кто убил его — мой отец был нариман мой дед — кахруман его голова висит на стене замка белых дьяволов в их городе на острове — хорошо ответил рустам я пойду туда позволь мне это а если не позволишь я все равно пойду — нет сказал отец так и иди я тебя туда отправлю вместе с купцами зал спросил у этих последних когда они отправляются послезавтра ответили ему зал дал им 1000 червонцев и сказал в пищу моему сыну давайте быка пять кварт риса девять рам масла и один бурдюк вина меньше пе давайте ему дайте мне также знать как идут дела и не возвращайтесь прежде чем рустам достигнет своей цели — хорошо сказали купцы и отправились в путь с ними отправился также рустам,0
